Format Version,1.23,Take Name,Alza_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-12-02 12.25.22.852 PM,Capture Start Frame,2634524,Total Frames in Take,10514,Total Exported Frames,10514,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Cup:Marker1,Cup:Marker1,Cup:Marker1,Cup:Marker2,Cup:Marker2,Cup:Marker2,Cup:Marker3,Cup:Marker3,Cup:Marker3,Cup:Marker4,Cup:Marker4,Cup:Marker4,Cup:Marker5,Cup:Marker5,Cup:Marker5,Cup:Marker6,Cup:Marker6,Cup:Marker6
,ID,"DDD70","DDD70","DDD70","DDD90","DDD90","DDD90","DDD60","DDD60","DDD60","DDD80","DDD80","DDD80","DE540","DE540","DE540","DDD50","DDD50","DDD50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.206452,0.137652,0.052951,0.138581,0.142420,0.053362,0.230513,0.139319,0.171792,0.142014,0.145163,0.179666,0.228633,0.136886,0.099322,0.243066,0.137781,0.131041
1,0.002778,,,,,,,,,,,,,,,,,,
2,0.005556,0.206458,0.137640,0.052962,0.138579,0.142420,0.053376,0.230506,0.139339,0.171802,0.142011,0.145181,0.179671,0.228636,0.136892,0.099318,0.243082,0.137770,0.131041
3,0.008333,0.207308,0.139999,0.053148,0.138573,0.142426,0.053382,0.230507,0.139334,0.171799,0.141996,0.145168,0.179662,0.228658,0.136876,0.099335,0.243086,0.137767,0.131044
4,0.011111,,,,,,,,,,,,,,,,,,
5,0.013889,0.207289,0.139984,0.053153,0.138551,0.142411,0.053380,0.230504,0.139322,0.171797,0.142007,0.145173,0.179665,0.228669,0.136856,0.099304,0.243090,0.137781,0.131035
6,0.016667,0.207319,0.139992,0.053127,0.138547,0.142415,0.053391,0.230542,0.139310,0.171803,0.141995,0.145169,0.179666,0.225070,0.139629,0.103758,0.243072,0.137778,0.131040
7,0.019444,,,,,,,,,,,,,,,,,,
8,0.022222,0.207307,0.139981,0.053144,0.138553,0.142410,0.053396,0.230533,0.139303,0.171803,0.142005,0.145152,0.179683,0.228671,0.136842,0.099305,0.243099,0.137756,0.131048
9,0.025000,,,,,,,,,,,,,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,
11,0.030556,0.207313,0.139977,0.053143,0.138545,0.142438,0.053419,0.230568,0.139276,0.171822,0.141990,0.145151,0.179678,0.228631,0.136872,0.099334,0.243092,0.137742,0.131051
